stock no.,link,gross_profit_changes
00048,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00048,"-14.52%, -12.81%, -20.67%, 33.3%"
00125,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00125,"14.5%, -8.27%, 7.71%, -39.35%"
00264,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00264,"-7.63%, 19.57%, -37.18%, 31.0%"
00789,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00789,"270.93%, 261.4%, 307.94%, -35.35%"
00907,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00907,"-76.46%, -730.43%, 16.28%, -54.86%"
01023,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01023,"-32.43%, 22.98%, 9.11%, -36.86%"
01058,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01058,"-92.74%, -7902.14%, -25.64%, -83.57%"
01100,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01100,"8.64%, -0.08%, -7.47%, 30.01%"
01120,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01120,"-36.24%, -1.6%, 63.84%, -30.51%"
01134,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01134,"7.7%, 2.96%, -0.41%"
01731,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01731,"5.69%, 13.94%, -21.24%, -4.41%"
01842,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01842,"14.48%, 9.93%, -49.11%"
01910,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01910,"18.92%, 28.86%, 9.42%, -5.96%"
01942,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01942,"20.71%, 23.65%, 15.9%"
02011,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02011,"-12.53%, 37.16%, 10.77%, -17.19%"
02683,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02683,"48.43%, 9.06%, -11.92%, -4.33%"
02952,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02952,
06838,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=06838,"-23.93%, 66.89%, 20.33%, -0.56%"
08285,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08285,"3.01%, 1.65%, -34.9%, -3.91%"
00100,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00100,"8.94%, 7.39%, -7.81%, -36.65%"
00150,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00150,"34.22%, 66.69%, 64.48%, 13.1%"
00205,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00205,"-2.51%, 20.9%, -49.47%, -42.3%"
00550,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00550,"70.82%, 3.91%, -41.39%, -17.62%"
00623,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00623,"-60.13%, 148.77%, -14.78%, -49.47%"
00745,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00745,"-192.0%, -417.74%, -1.73%, -28.45%"
00863,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00863,"-74.42%, 93.0%, 632.42%, -33.72%"
01000,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01000,"-29.56%, -35.19%, -60.49%, -61.05%"
01163,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01163,"2.82%, 30.13%"
01640,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01640,"92.42%, 14.69%, 11.73%"
01762,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01762,"688.91%, -433.17%, 372.03%, 55.77%"
01831,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01831,"-266.27%, 22.94%, 54.69%, 13.78%"
01860,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01860,"202.35%, 19.96%, 18.15%, 21.31%"
01917,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01917,"15.49%, 15.05%, 67.34%, -37.42%"
01993,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01993,"0.03%, 24.87%, 33.46%, -17.83%"
02013,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02013,"70.0%, 106.21%, 50.39%, 53.99%"
08087,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08087,"-20.57%, -8.96%, -84.66%, 150.35%"
08088,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08088,"23.26%, -89.56%, -35.83%, -60.88%"
08091,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08091,"0.12%, -17.69%, -13.68%, -17.21%"
08112,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08112,"14.27%, 14.93%, 12.05%, -8.62%"
